,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
76,"Sunday Best",Surfaces,118819,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
77,"choque térmico - ao vivo","Luan Santana",118055,https://open.spotify.com/track/159ntSAEWJ9zIMOSXmQ530
78,"Certo e Duvidoso (feat. Gaab) - Ao Vivo","Marcos & Belutti",117996,https://open.spotify.com/track/7ArNH109yIfwIquJ535fsi
79,Pupila,ANAVITÓRIA,117053,https://open.spotify.com/track/7Gk5OrMYaMRtT2JmgJVAfk
80,"Declaração pro Bar - Ao Vivo","Guilherme & Benuto",116985,https://open.spotify.com/track/48CAeajgzcGJaVUSsXd7h0
81,"Intentions (feat. Quavo)","Justin Bieber",116221,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
82,"Tchau Brigado - Ao Vivo","Humberto & Ronaldo",115566,https://open.spotify.com/track/2TR917wkDeRvwTE5cSfZFf
83,"Saudade em Gotas (feat. Wesley Safadão) - Ao Vivo","Yasmin Santos",113953,https://open.spotify.com/track/4pnlRYoaaGu24SuC3et5Pv
84,"Então Toma - Ao Vivo","Matheus & Kauan",113099,https://open.spotify.com/track/600Byp0tUwr2aDLm361rG1
85,"Tudo Aconteceu","MC Du Black",112178,https://open.spotify.com/track/67mqU3FeErlvWwsxnMfvQo
86,"On & On",Alok,112079,https://open.spotify.com/track/7sYAS4CpbV90oSemgaEQat
87,"Viva Voz - Ao Vivo","Lauana Prado",111405,https://open.spotify.com/track/08Sd5vVcIH3uKeAiaJdoYj
88,"Todo Mundo Vai Sofrer - Ao Vivo","Marília Mendonça",109647,https://open.spotify.com/track/4E6RdcCWMiHTu7zy1VTNDo
89,Yummy,"Justin Bieber",109058,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
90,"A boba fui eu - Recorded At Mosh Studios, São Paulo",Ludmilla,108493,https://open.spotify.com/track/4Y7ay3naWoluoOM3xIj1UZ
91,"Some que ele vem atrás",Anitta,108311,https://open.spotify.com/track/2qD7VoDYcrAPY0cVEfpsR5
92,Circles,"Post Malone",106337,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
93,ROXANNE,"Arizona Zervas",105674,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
94,Verdinha,Ludmilla,105431,https://open.spotify.com/track/2RMOwSvOGQyy985Vx4VSGQ
95,"Poesia Acústica #6: Era uma Vez","Pineapple StormTv",105214,https://open.spotify.com/track/13Rf6RaZT13TW4xLQR3MQr
96,"Tão Linda","Atitude 67",105092,https://open.spotify.com/track/59WWulo1LM0njpIkcduCMn
97,"Meu Abrigo",Melim,104245,https://open.spotify.com/track/5U28PY9MekLyCBYtLHGQpe
98,"Intenção - Ao Vivo","Marília Mendonça",104217,https://open.spotify.com/track/1qy7aOHnfnOMJoT1fhoLYG
99,"Contatinho - Ao Vivo","Leo Santana",104176,https://open.spotify.com/track/4RC2nzqaQygxoVQOVv3XlT
100,Memories,"Maroon 5",102107,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
101,Glockada,"NGC Daddy",100712,https://open.spotify.com/track/4f3e6HRUIu5Ub2mcwu8god
102,"Fake News - Ao Vivo","Gustavo Mioto",100553,https://open.spotify.com/track/1G60NjxeOS7veR1EXuKPaW
103,"Hit Contagiante","Felipe Original",100162,https://open.spotify.com/track/5dKesZwp6deuhEeW8F1UEi
104,"Baila Conmigo (feat. Kelly Ruiz)",Dayvi,99402,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
105,"bad guy","Billie Eilish",99103,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
106,"Dois Enganados","Murilo Huff",98463,https://open.spotify.com/track/72N0CRIAqjETbhghrkCUW2
107,"Adore You","Harry Styles",97896,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
108,"Algo Mais (Amante) - Ao Vivo","Xand Avião",97622,https://open.spotify.com/track/4jGzR5Vri06Y5T9SxM7m5P
109,"Meu talismã",IZA,96049,https://open.spotify.com/track/5aayWOEE7u7bxZ3r7dwIrX
110,Gelo,Melim,95451,https://open.spotify.com/track/0J6cINt02c8UQqDG7vLShY
111,"Blueberry Faygo","Lil Mosey",94094,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
112,"Ela Vem","MC G15",93932,https://open.spotify.com/track/31yFXM26dazFnWI2eoOM5R
113,"A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília","Diego & Victor Hugo",93815,https://open.spotify.com/track/4gDvg62vG96w0qJaF6wzcd
