,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
88,33,"Polo G",379766,https://open.spotify.com/track/2iW6Hb6kfrz2K7EhPibFiq
89,"BYE ME FUI","Bad Bunny",379222,https://open.spotify.com/track/0FktnzDqjClqU6iqOZVEs2
90,"Before You Go","Lewis Capaldi",375618,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
91,"Temperature Rising","Tory Lanez",374734,https://open.spotify.com/track/1miln1rdxYSBD0NOeIQeJG
92,"That Way - Bonus Track","Lil Uzi Vert",371818,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
93,"Broke In A Minute","Tory Lanez",368260,https://open.spotify.com/track/4xqIYGwwZTEem9U8A42SPF
94,"everything i wanted","Billie Eilish",363355,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
95,"I Know","Polo G",359408,https://open.spotify.com/track/40j4RoqmLiivqzRObbQ4BF
96,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",353345,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
97,"All Girls Are The Same","Juice WRLD",353271,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
98,"Heartless (feat. Morgan Wallen)",Diplo,348164,https://open.spotify.com/track/5mTL8ZHcB2LJdlrR78xJYr
99,"Deep End Freestyle","Sleepy Hallow",335931,https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK
100,Tycoon,Future,334978,https://open.spotify.com/track/05TpY5Fov3Hgfp8V1KILZ8
101,"Last Name (feat. Lil Durk)",Future,333491,https://open.spotify.com/track/1Sm3NRIXjCqYWSi8NlV8fd
102,"10,000 Hours (with Justin Bieber)","Dan + Shay",333383,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
103,"100 Shooters (feat. Meek Mill & Doe Boy)",Future,332797,https://open.spotify.com/track/3Uoy2lrZdhocMWO0jIdjAp
104,"Whiskey Glasses","Morgan Wallen",332652,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00
105,Selfish,"Madison Beer",331402,https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH
106,DND,"Polo G",328746,https://open.spotify.com/track/58GJNfq2m0Qr5nIUCDbXVQ
107,"FIND MY WAY",DaBaby,328026,https://open.spotify.com/track/1gVCEnryJhkdQcuC0Kbvor
108,"Chasin' You","Morgan Wallen",322654,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A
109,"bad guy","Billie Eilish",320593,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
110,"Money In The Grave (Drake ft. Rick Ross)",Drake,319640,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
111,"CITY OF ANGELS",24kGoldn,318945,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
