,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
70,"Ti Levo Le Collane (feat. Paky)","Guè Pequeno",72569,https://open.spotify.com/track/48NEryJWd2W3T6V6yKHzz6
71,"Sangria (feat. Astol)","Emma Muscat",72410,https://open.spotify.com/track/5AxfollP1UH3X0MWNaS1zP
72,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",72108,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
73,HUSKY,"FSK SATELLITE",72106,https://open.spotify.com/track/6ukFoZXNXzmyx1pkCrtkdL
74,SPENSIERATEZZA,PSICOLOGI,70966,https://open.spotify.com/track/2DzJYaFlsNdpmfoHMYecZ4
75,"HO FATTO","FSK SATELLITE",70806,https://open.spotify.com/track/7KVhQI4nnYv98MThEPN6kh
76,Festa,PSICOLOGI,70400,https://open.spotify.com/track/5ZEFqQ8hVGdyMxddxu8Pa3
77,"blun7 a swishland","tha Supreme",68887,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
78,"Como Llora",Juanfran,68573,https://open.spotify.com/track/52zq2a71SGs3f1vJuv59ui
79,"Vivere (feat. Izi)",Mecna,67905,https://open.spotify.com/track/4tJgDmPMR0Wlo3OO6JvHZj
80,"Ride It",Regard,67214,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
81,Chiasso,Random,66126,https://open.spotify.com/track/76B3Xb8EqIY4NJF5xoNrCH
82,"1,2,3 STELLA (feat. Geolier)","Dark Polo Gang",66100,https://open.spotify.com/track/1EGC4KMFYi5ukbe68OcM4Y
83,"Guerra E Pace",PSICOLOGI,65481,https://open.spotify.com/track/2puGJHRifrmNO7gTAeWm0z
84,"CRUDELIA - I nervi",Marracash,65187,https://open.spotify.com/track/5dsz7MTrNdN9aMTrnp7sOG
85,"Hoodboy - Remix","Coyote Jo Bastard",65019,https://open.spotify.com/track/0RS1tp85979N7W73I0jBsl
86,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",Tainy,64778,https://open.spotify.com/track/1pqnQ41XbfKjaFu6M0eGJp
87,"Per sentirmi vivo",Fasma,64243,https://open.spotify.com/track/20v9X8TV0AgwNGFT71OX3w
88,"Cracovia, Pt. 3","Il Tre",63257,https://open.spotify.com/track/18dt6tNw8hpNUdthOJf0lI
89,"Una voglia assurda",J-AX,62831,https://open.spotify.com/track/0jaYrOJVG8KcDh9qrU2TU8
90,Dynamite,BTS,62643,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
91,"Break My Heart","Dua Lipa",62392,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
92,"ASSO DI BASTONI","FSK SATELLITE",62332,https://open.spotify.com/track/2XxuGWgUASWjnBOXs7OusW
93,"Jerusalema (feat. Nomcebo Zikode)","Master KG",61438,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
94,"Narcos Remix (feat. Lazza)",Geolier,60970,https://open.spotify.com/track/0mAeTwKRW38d8TRsWqvw9Z
95,Heather,"Conan Gray",60818,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
96,"Mood Swings (feat. Lil Tjay)","Pop Smoke",60537,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
97,"Cin Cin",Alfa,60062,https://open.spotify.com/track/1jJMhPp0Rm6lAi077PXeEQ
98,Ricordami,"Tommaso Paradiso",59849,https://open.spotify.com/track/6Vw7SyOg1BcWvGpyPzWgEa
99,"Cyborg (feat. Geolier)","Guè Pequeno",59567,https://open.spotify.com/track/54wRUYPMEHLttFdLImOlAt
100,"10 X IN CALIFORNIA","FSK SATELLITE",59488,https://open.spotify.com/track/5mRGy7dmLjIFva59lGRM43
101,"Comme si Femmena - feat. Geolier","Gigi D'Alessio",59458,https://open.spotify.com/track/20yENcX392hoXwOqsaAmV5
102,"Comme si fragile - feat. Geolier","Gigi D'Alessio",59322,https://open.spotify.com/track/50khIEI9MvKMZug82sChSC
103,"SETTIMANA AL CALDO","FSK SATELLITE",59218,https://open.spotify.com/track/6gp8tk6vJeTjIshMHIj0Za
104,Autostima,PSICOLOGI,59158,https://open.spotify.com/track/5qf1k7zubHxjR3uinHmIKg
105,Control,"Zoe Wees",59110,https://open.spotify.com/track/50Td3qilgs8BLtv8mHyT1t
106,Futuro,PSICOLOGI,57445,https://open.spotify.com/track/7crqSyRvbetPDRqCREnGdj
107,9.3,Mr.Rain,57037,https://open.spotify.com/track/1prey7RGLzP9zS4dk2Y6a8
