,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
108,"Let Me Love You",Mario,1931,https://open.spotify.com/track/7GaFYUqP2WdR4KTPk7cXoP
109,"Futsal Shuffle 2020 - Bonus Track","Lil Uzi Vert",1930,https://open.spotify.com/track/2fOlBMkWR7lXJfqp5VTbDG
110,Better,Khalid,1923,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
111,SAD!,XXXTENTACION,1920,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
112,Ransom,"Lil Tecca",1903,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
113,Wow.,"Post Malone",1891,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
114,"Say You Won't Let Go","James Arthur",1884,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
115,Dior,"Pop Smoke",1884,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
116,Bruises,"Lewis Capaldi",1876,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
117,"Hate Me (with Juice WRLD)","Ellie Goulding",1876,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
118,"SICKO MODE","Travis Scott",1873,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
119,"If I Can't Have You","Shawn Mendes",1857,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
120,"OUT WEST (feat. Young Thug)",JACKBOYS,1856,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
121,Lalala,Y2K,1848,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
122,"3 Nights","Dominic Fike",1831,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
123,"Into Ingawe","Sun-El Musician",1821,https://open.spotify.com/track/428JKI7aO86RjJh0uqG9fg
124,"ocean eyes","Billie Eilish",1814,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
125,"MIDDLE CHILD","J. Cole",1808,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
126,"Baby Pluto","Lil Uzi Vert",1797,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh
127,Mthande,"Mas Music",1790,https://open.spotify.com/track/7uWjJqLMacCGJtP5K99nmn
128,2002,Anne-Marie,1788,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
129,Qoqoqo,"Kabza De Small",1786,https://open.spotify.com/track/7idAdotBN9swD9VzJSLioG
130,"fuck, i'm lonely (with Anne-Marie)",Lauv,1786,https://open.spotify.com/track/09PGubKAMryhOWv1LHpCYz
131,"Into You (feat. Tamia) - Main Mix",Fabolous,1785,https://open.spotify.com/track/1Jm1I3APcmVz3MqPr5vfTx
132,"7 rings","Ariana Grande",1780,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
133,"None Of Your Concern (feat. Big Sean)","Jhené Aiko",1779,https://open.spotify.com/track/75MSZRbAbQuzfUV3Pefvut
134,"Don't Stop Believin'",Journey,1770,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
135,"Vula Vala","DJ Maphorisa",1758,https://open.spotify.com/track/66qYWzjiH7jlPfpoU3IxvV
136,"i'm so tired...",Lauv,1753,https://open.spotify.com/track/4vjpLMyL3ZO6aphdYr8XYw
137,"When I See U",Fantasia,1743,https://open.spotify.com/track/4iuNZTcvT9diFySSzVsnVS
138,"Modern Loneliness",Lauv,1731,https://open.spotify.com/track/1eyek0KJEh2v5HQ9uQSybb
139,"Post Malone (feat. RANI)","Sam Feldt",1723,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
140,"The London (feat. J. Cole & Travis Scott)","Young Thug",1700,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
141,"Young & Alive",Bazzi,1700,https://open.spotify.com/track/5RsKelNxucrDxgMbZ3vd3W
142,"Best Part (feat. Daniel Caesar)",H.E.R.,1698,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
143,"Euphoria (feat. Travis Scott & Kaash Paige)","Don Toliver",1694,https://open.spotify.com/track/13QU8HBEBaSTZGq1HzQe9S
144,"Had Enough (feat. Quavo & Offset)","Don Toliver",1692,https://open.spotify.com/track/6SPgp2qK3fb4wPX1SldrNf
145,"Suicidal (Remix) [feat. Juice WRLD]","YNW Melly",1687,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ
146,"Jocelyn Flores",XXXTENTACION,1672,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
147,"Friends With Benefits - Umjolo","Luu Nineleven",1667,https://open.spotify.com/track/2XVUSu7mzf0WsWdNdyboZP
148,"Girls Need Love (with Drake) - Remix","Summer Walker",1661,https://open.spotify.com/track/14SaZBTjxlorHJQxXh01Hu
149,"Something About You (feat. DJ Maphorisa & Kabza De Small)","Sha Sha",1657,https://open.spotify.com/track/7aC4nFXiy7P6nCIgCj4fau
150,Amantombazane,"DJ Maphorisa",1647,https://open.spotify.com/track/5TV5x7u5Tnx2i47ccKXVex
151,"The Blinding feat. Travis Scott","Jay Electronica",1647,https://open.spotify.com/track/3tnJIJVNuVziKgY38J2HZP
152,"Black And White","Niall Horan",1642,https://open.spotify.com/track/7rpNuuoMbid56XkDsx2FjE
153,"Lights Up","Harry Styles",1641,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb
154,"Way Maker - Live",Leeland,1633,https://open.spotify.com/track/40ozK0lCJ0EQzVGWsCNUhk
155,"SOS (feat. Aloe Blacc)",Avicii,1633,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
156,"Love Letter","Blaq Diamond",1630,https://open.spotify.com/track/5iVlG76tiDfFzUc9GZV1fJ
157,"After Party","Don Toliver",1629,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
158,"Better Now","Post Malone",1618,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
159,"I Just Wanna Know",Elaine,1618,https://open.spotify.com/track/5O8fA2qoSAtzHUFqZe0KJQ
160,"Piece Of Your Heart",MEDUZA,1618,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
161,Umlilo,"DJ Zinhle",1609,https://open.spotify.com/track/6EEmWiEPZSDGXBTknG8wR1
