,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
74,以後別做朋友,"Eric Chou",9396,https://open.spotify.com/track/7zyYmIdjqqiX6kLryb7QBx
75,太陽,"Pika Chiu",9334,https://open.spotify.com/track/3mAc5QY56d5Zl1MbvnWybK
76,年少有為,"Ronghao Li",9238,https://open.spotify.com/track/6XY80Ofqd8j0SGiEdRLwCp
77,你的酒馆对我打了烊,"Shirley Chen",9073,https://open.spotify.com/track/6BL2V0CvfW9QVHm9oU4Lmk
78,"lovely (with Khalid)","Billie Eilish",9058,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
79,绿色,"Shirley Chen",8960,https://open.spotify.com/track/6ZoJngyuPof3KsFhFKA5P5
80,"fuck, i'm lonely (with Anne-Marie)",Lauv,8863,https://open.spotify.com/track/09PGubKAMryhOWv1LHpCYz
81,"If I Can't Have You","Shawn Mendes",8795,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
82,"Lose You To Love Me","Selena Gomez",8756,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
83,Perfect,"Ed Sheeran",8642,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
84,"Be Alright","Dean Lewis",8583,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
85,Selfish,"Madison Beer",8556,https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH
86,"Without Me",Halsey,8444,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
87,我很快樂,"Eric Chou",8418,https://open.spotify.com/track/0ztR7sCDXwCU5I8QJKemSU
88,I.F.L.Y.,Bazzi,8414,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
89,"WHATS POPPIN","Jack Harlow",8413,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
90,你要的全拿走,"Tiger Hu",8364,https://open.spotify.com/track/37BXaP8wCJrH0M3AdtSNyk
91,等你下課,"Jay Chou",8321,https://open.spotify.com/track/76WthWB0v0KXUHZoAclMVV
92,"Black Swan",BTS,8257,https://open.spotify.com/track/3bkkMZEAhx7rTVz1C0itRQ
93,體面(電影《前任3:再見前任》插曲),"Kelly Yu",8118,https://open.spotify.com/track/7cE5ehlKJ3L9Ejhzm3udcF
94,她說,"JJ Lin",8027,https://open.spotify.com/track/632VyMrvhsHIsO4zq9khts
95,Shallow,"Lady Gaga",8006,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
96,"How Do You Sleep?","Sam Smith",8000,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
97,"Let Me Down Slowly","Alec Benjamin",7983,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
98,Happier,Marshmello,7931,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
99,"Godzilla (feat. Juice WRLD)",Eminem,7891,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
100,Takeaway,"The Chainsmokers",7834,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
101,"My Oh My (feat. DaBaby)","Camila Cabello",7834,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
102,"Falling Like The Stars","James Arthur",7832,https://open.spotify.com/track/395KzBy0bkb57dEvg6cfzJ
103,那女孩對我說,"Rachel Liang",7820,https://open.spotify.com/track/5Gip2UwE4f8L4MQWsvcvfA
104,"Too Good At Goodbyes","Sam Smith",7819,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
105,不為誰而作的歌,"JJ Lin",7797,https://open.spotify.com/track/0VqSdtXseb9khdZrnYVyM1
106,可惜沒如果,"JJ Lin",7746,https://open.spotify.com/track/6WoQzK5Exbfcmow1AoNRkl
107,Sucker,"Jonas Brothers",7726,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
108,"Kill This Love",BLACKPINK,7719,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
109,"Something Just Like This","The Chainsmokers",7715,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
110,"You Are The Reason","Calum Scott",7574,https://open.spotify.com/track/69vToJ9BMbbLlFZo7k7A7B
111,Astronomia,Vicetone,7570,https://open.spotify.com/track/665AK0ovB11McZRwfa852G
112,晴天,"Jay Chou",7568,https://open.spotify.com/track/0F02KChKwbcQ3tk4q1YxLH
113,說散就散,"JC 陳詠桐",7544,https://open.spotify.com/track/35fpQiijFocukVyzHCjhCn
114,Falling,"Harry Styles",7521,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
115,"Sweet but Psycho","Ava Max",7458,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
116,"Like It Is",Kygo,7427,https://open.spotify.com/track/3frUvGrmGcay91lvFbOgsN
117,"天黑請閉眼 feat. 邱鋒澤","Nine Chen",7418,https://open.spotify.com/track/3j5yYj3N0CQSgcHMF91ZlO
118,"Without You","高爾宣 OSN",7395,https://open.spotify.com/track/0KWnRv3wxjltYVB3MqjNd2
119,安靜,"Jay Chou",7358,https://open.spotify.com/track/4FOydQ5IdqmdeBgG9vFbPg
120,"Way Back Home (feat. Conor Maynard) - Sam Feldt Edit",SHAUN,7322,https://open.spotify.com/track/1ZLrDPgR7mvuTco3rQK8Pk
121,"Heading Home","Alan Walker",7276,https://open.spotify.com/track/22O2Zdfj3jnJZDSzlDMAJp
122,"Call You Mine","The Chainsmokers",7259,https://open.spotify.com/track/2oejEp50ZzPuQTQ6v54Evp
123,"光年之外 (電影 《Passengers》 中國區主題曲)",G.E.M.,7258,https://open.spotify.com/track/1bkvGbgK4HU8B7Ue4k7O7I
124,"You should be sad",Halsey,7209,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
125,芒种,音阙诗听,7151,https://open.spotify.com/track/3IP4qSMfGeqI2XqHFf25sj
126,"What If I Told You That I Love You","Ali Gatie",7123,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
127,"Shape of You","Ed Sheeran",7093,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
128,"Life Is Good (feat. Drake)",Future,7078,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
129,"Eastside (with Halsey & Khalid)","benny blanco",7057,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
130,"Tattoos Together",Lauv,7051,https://open.spotify.com/track/1Srt81FTalOhRw7t7l8Yh8
131,"Dancing With A Stranger (with Normani)","Sam Smith",7043,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
132,不該,"Jay Chou",7023,https://open.spotify.com/track/7LyCtbxher5m97MImn5M3l
133,"Rewrite The Stars","Zac Efron",7010,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
134,Photograph,"Ed Sheeran",6941,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
135,句號,G.E.M.,6930,https://open.spotify.com/track/66YKSygcUZHHqHJZcWslI3
136,"Girls Like You (feat. Cardi B)","Maroon 5",6920,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
137,"Love Someone","Lukas Graham",6916,https://open.spotify.com/track/0OCRwXbQRdOZ1OtB4Imsp1
138,"No Time To Die","Billie Eilish",6885,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
139,"7 rings","Ariana Grande",6809,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
140,"BELIEVE IT",PARTYNEXTDOOR,6791,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
141,"thank u, next","Ariana Grande",6744,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
142,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",6723,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
143,"Yellow Hearts","Ant Saunders",6702,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl
144,小時候的我們,"Eric Chou",6698,https://open.spotify.com/track/3pyfEMTvunanVkcTFME2IK
145,修煉愛情,"JJ Lin",6661,https://open.spotify.com/track/190kU2WKyIzx9XaBjfWRPk
146,"Young & Alive",Bazzi,6642,https://open.spotify.com/track/5RsKelNxucrDxgMbZ3vd3W
147,"Feel Special",TWICE,6583,https://open.spotify.com/track/2HtcPHFdo7eu4Ilbvb0BVI
148,"Lose Control",MEDUZA,6538,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
149,"Moral of the Story",Ashe,6532,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj
150,Youngblood,"5 Seconds of Summer",6525,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
151,"Here I Am Again","Yerin Baek",6489,https://open.spotify.com/track/5CDq3Ekm0E0c23S0mbEELV
152,Flower,"Yoon Mirae",6480,https://open.spotify.com/track/0GVKkD74xcixRYYG3zv1NL
153,"Big Plans","Why Don't We",6425,https://open.spotify.com/track/3eng6TJxpqjvDkxRpnfnhB
154,"Scars To Your Beautiful","Alessia Cara",6425,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
155,过客,阿涵,6394,https://open.spotify.com/track/4kRD1QrswfXkNOuTXyBLJV
156,"那些年 - 那些年","Hu Xia",6367,https://open.spotify.com/track/3v8FOuA8jxAC5SOA2uN6Mg
157,"Know Your Worth",Khalid,6360,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
158,"Let's Fall in Love for the Night",FINNEAS,6350,https://open.spotify.com/track/7kQkmyoHCEqwe7QwDbkSXM
159,受夠,"Eric Chou",6331,https://open.spotify.com/track/5JLLWtgBLRxpd4MRkGAm74
160,"Never Really Over","Katy Perry",6275,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
161,給我一個理由忘記,A-Lin,6233,https://open.spotify.com/track/2DcmVSLAg0ZzfOQxDshZHY
162,"Kings & Queens","Ava Max",6151,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
163,"Beautiful (feat. Camila Cabello)",Bazzi,6139,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
164,你的答案,阿冗,6125,https://open.spotify.com/track/4QWSICaQ6LGmcS8qX9lNVh
165,來自天堂的魔鬼,G.E.M.,6122,https://open.spotify.com/track/0g2XnkKghVN22yze1gTJzl
166,"Sweet Night",V,6118,https://open.spotify.com/track/39EXZNMxb4RBHlRjnRaOKp
167,"always, i'll care","Jeremy Zucker",6113,https://open.spotify.com/track/1LdS1ULS9e18oW3M2C1MUj
168,只是太愛你,"Hins Cheung",6102,https://open.spotify.com/track/0s5GrkSNp9bfP2FtrtbiJ0
169,後來的我們,Mayday,6059,https://open.spotify.com/track/13AruKdh8wJhWx6i5dV8X1
170,Changes,Lauv,6039,https://open.spotify.com/track/7cDpMO5wuWgvv3j4INRBeB
171,Unbelievable,"Why Don't We",6006,https://open.spotify.com/track/1LHfEkVMR0Yj20C8lWdgpA
172,"you were good to me","Jeremy Zucker",5999,https://open.spotify.com/track/4CxFN5zON70B3VOPBYbd6P
173,"Watermelon Sugar","Harry Styles",5992,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
174,Closer,"The Chainsmokers",5947,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
175,"The Middle",Zedd,5915,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
176,"Invisible Things",Lauv,5912,https://open.spotify.com/track/1ShHhJlzaLuoZbJ3aP4z0m
177,倒數,G.E.M.,5898,https://open.spotify.com/track/2HmM5p02Q2qrYZvXJRLVx3
178,FANCY,TWICE,5896,https://open.spotify.com/track/2FXd6kKCtBIc6UfN1gH1pA
179,"DUN DUN",EVERGLOW,5815,https://open.spotify.com/track/3CyCjgTHFzqucmECajq8QA
180,"Just the Way You Are","Bruno Mars",5799,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
181,泡沫,G.E.M.,5796,https://open.spotify.com/track/2IfSPLPDW6RGosdB5huwAA
182,Filter,BTS,5772,https://open.spotify.com/track/0ono6UCNVZ1XqOm6j78Blu
183,"Midnight (feat. Liam Payne)",Alesso,5766,https://open.spotify.com/track/4ZTTUAjJCd4NMZmIU7RB4c
184,"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth",5765,https://open.spotify.com/track/68EMU2RD1ECNeOeJ5qAXCV
185,突然好想你,Mayday,5762,https://open.spotify.com/track/0IAgufC1FlOg1nZMmRZxRr
186,Blueming,IU,5752,https://open.spotify.com/track/4Dr2hJ3EnVh2Aaot6fRwDO
187,Attention,"Charlie Puth",5668,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50
188,"I'm Yours","Jason Mraz",5661,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
189,手心的薔薇,"JJ Lin",5651,https://open.spotify.com/track/07DWACsD58aEdq6XnDadLh
190,"Bad Liar","Imagine Dragons",5649,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
191,"Trampoline (with ZAYN)",SHAED,5627,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
192,猜不透,Della,5627,https://open.spotify.com/track/5FGzM47D9MUa0y7qb2D0Ix
193,Faded,"Alan Walker",5619,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz
194,"when the party's over","Billie Eilish",5608,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
195,"8 Letters","Why Don't We",5578,https://open.spotify.com/track/4zRZAmBQP8vhNPf9i9opXt
196,Heartless,"The Weeknd",5523,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
197,"So Am I","Ava Max",5502,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
198,"Someday, The Boy","Kim Feel",5490,https://open.spotify.com/track/1N0vwih6TUIb9kYtynvlRc
199,"Treat You Better","Shawn Mendes",5489,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd
200,"High Hopes","Panic! At The Disco",5476,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
