,Position,Track Name,Artist,Streams,URL,id,date,country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
395,1,Señorita,Shawn Mendes,121357,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik,0TK2YIli7K1leLovkQiNik,2019-07-15,-sg-,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,audio_features,spotify:track:0TK2YIli7K1leLovkQiNik,https://api.spotify.com/v1/tracks/0TK2YIli7K1leLovkQiNik,https://api.spotify.com/v1/audio-analysis/0TK2YIli7K1leLovkQiNik,190960,4
396,2,Beautiful People (feat. Khalid),Ed Sheeran,71903,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,70eFcWOvlMObDhURTqT4Fv,2019-07-15,-sg-,0.64,0.647,5,-8.114,0,0.186,0.124,0.0,0.0801,0.546,92.979,audio_features,spotify:track:70eFcWOvlMObDhURTqT4Fv,https://api.spotify.com/v1/tracks/70eFcWOvlMObDhURTqT4Fv,https://api.spotify.com/v1/audio-analysis/70eFcWOvlMObDhURTqT4Fv,197867,4
397,3,I Don't Care (with Justin Bieber),Ed Sheeran,57363,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,0hVXuCcriWRGvwMV1r5Yn9,2019-07-15,-sg-,0.798,0.676,6,-5.041,1,0.0442,0.0902,0.0,0.0894,0.843,101.956,audio_features,spotify:track:0hVXuCcriWRGvwMV1r5Yn9,https://api.spotify.com/v1/tracks/0hVXuCcriWRGvwMV1r5Yn9,https://api.spotify.com/v1/audio-analysis/0hVXuCcriWRGvwMV1r5Yn9,219947,4
398,4,Goodbyes (Feat. Young Thug),Post Malone,47636,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,6vBdBCoOhKHiYDDOcorfNo,2019-07-15,-sg-,0.58,0.653,5,-3.818,1,0.0745,0.447,0.0,0.111,0.175,150.231,audio_features,spotify:track:6vBdBCoOhKHiYDDOcorfNo,https://api.spotify.com/v1/tracks/6vBdBCoOhKHiYDDOcorfNo,https://api.spotify.com/v1/audio-analysis/6vBdBCoOhKHiYDDOcorfNo,174960,4
399,5,Call You Mine,The Chainsmokers,40240,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR,05CwHjIk71RXVU40boRMnR,2019-07-15,-sg-,0.591,0.702,7,-5.59,1,0.0289,0.225,0.0,0.414,0.501,104.003,audio_features,spotify:track:05CwHjIk71RXVU40boRMnR,https://api.spotify.com/v1/tracks/05CwHjIk71RXVU40boRMnR,https://api.spotify.com/v1/audio-analysis/05CwHjIk71RXVU40boRMnR,217653,4
400,1,Surtada - Remix Brega Funk,Dadá Boladão,753668,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r,5F8ffc8KWKNawllr5WsW0r,2019-11-15,-br-,0.832,0.55,5,-7.026,0,0.0587,0.249,8.17e-06,0.182,0.881,154.064,audio_features,spotify:track:5F8ffc8KWKNawllr5WsW0r,https://api.spotify.com/v1/tracks/5F8ffc8KWKNawllr5WsW0r,https://api.spotify.com/v1/audio-analysis/5F8ffc8KWKNawllr5WsW0r,152784,4
401,2,Supera - Ao Vivo,Marília Mendonça,724886,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz,3GmJxfnUDrIs1iCfKUELFz,2019-11-15,-br-,0.665,0.743,4,-4.434,1,0.0567,0.0604,0.0,0.959,0.658,131.573,audio_features,spotify:track:3GmJxfnUDrIs1iCfKUELFz,https://api.spotify.com/v1/tracks/3GmJxfnUDrIs1iCfKUELFz,https://api.spotify.com/v1/audio-analysis/3GmJxfnUDrIs1iCfKUELFz,147748,4
402,3,Some que ele vem atrás,Anitta,724535,https://open.spotify.com/track/2qD7VoDYcrAPY0cVEfpsR5,2qD7VoDYcrAPY0cVEfpsR5,2019-11-15,-br-,0.648,0.795,0,-5.536,0,0.17,0.0748,0.0,0.38,0.598,180.043,audio_features,spotify:track:2qD7VoDYcrAPY0cVEfpsR5,https://api.spotify.com/v1/tracks/2qD7VoDYcrAPY0cVEfpsR5,https://api.spotify.com/v1/audio-analysis/2qD7VoDYcrAPY0cVEfpsR5,194771,4
403,4,Cheirosa - Ao Vivo,Jorge & Mateus,656842,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da,2PWjKmjyTZeDpmOUa3a5da,2019-11-15,-br-,0.528,0.87,11,-3.123,1,0.0851,0.24,0.0,0.333,0.714,152.37,audio_features,spotify:track:2PWjKmjyTZeDpmOUa3a5da,https://api.spotify.com/v1/tracks/2PWjKmjyTZeDpmOUa3a5da,https://api.spotify.com/v1/audio-analysis/2PWjKmjyTZeDpmOUa3a5da,181930,4
404,5,Gaiola É o Troco,MC Du Black,615672,https://open.spotify.com/track/3Uq45ipGutypFPmETfaoaH,3Uq45ipGutypFPmETfaoaH,2019-11-15,-br-,0.722,0.84,10,-3.24,0,0.0785,0.42,0.0,0.112,0.851,150.108,audio_features,spotify:track:3Uq45ipGutypFPmETfaoaH,https://api.spotify.com/v1/tracks/3Uq45ipGutypFPmETfaoaH,https://api.spotify.com/v1/audio-analysis/3Uq45ipGutypFPmETfaoaH,187246,4
405,1,blun7 a swishland,tha Supreme,386500,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP,7HwvPmK74MBRDhCIyMXReP,2020-01-15,-it-,0.692,0.792,7,-5.984,1,0.245,0.13,0.0,0.255,0.566,129.883,audio_features,spotify:track:7HwvPmK74MBRDhCIyMXReP,https://api.spotify.com/v1/tracks/7HwvPmK74MBRDhCIyMXReP,https://api.spotify.com/v1/audio-analysis/7HwvPmK74MBRDhCIyMXReP,167760,4
406,2,ANSIA NO,FSK SATELLITE,295704,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9,2yuYI5NFhevxa05se7Qht9,2020-01-15,-it-,0.823,0.678,1,-6.664,1,0.56,0.153,0.0,0.218,0.706,160.133,audio_features,spotify:track:2yuYI5NFhevxa05se7Qht9,https://api.spotify.com/v1/tracks/2yuYI5NFhevxa05se7Qht9,https://api.spotify.com/v1/audio-analysis/2yuYI5NFhevxa05se7Qht9,148500,4
